"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (October 2015 Version)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","World"
"Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.85656346469908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.0435617564649","","","","","","","","","","","","","","","","","","","","","","","","","","","184.900125221164"
"Albania","","","","","","","","","","","","","","","","","","","","","","","","","30.47681325855469","","","","","","","","","","0.06157224915993949","","","","","","","","","","","","","20.013254897850977","","","","","","","","","","1.9879011904644956","","","","","","","","","0.7298957350937093","","","","","0.9649324261451294","","56.523298992028096","","","","","","","","","","","5.010350034142823","","","","","","","","","2.5038026967236893","","","","","","","","","","","","","","","","","","","","","","2.4105238580924166","","","","","","","","","","","","","","","8.278723792046287","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32756682079684535","","","","","","","85.34608519554557","","","","","","3.255002750280078","","","","","","","","","","","","","","","","","","","","","","","","","0.4849140898789203","","","","","","","","2.3129509373480492","","","","","","","","","","","220.68758892415173"
"Algeria","","","","","","","","","","","0.7796692779858136","1.0097160140457535","","","","0.4413306045858162","","0.12504835868008202","3.2355124459438787","","","","","","","","","","","","","","","","0.5498141685549527","","","","","","3.7284678596120857","","1.7097886965132914","","","","0.056414757768124046","","","","","","0.879698676697837","0.6659123684963674","","","","","0.33845834960545407","","","","0.21541518050661831","","","0.2669457952903007","14.044200695941027","","","","","6.606401391283101","0.01948037626734909","0.40724652768526526","","","","","","","","","","","","","4.223213436536433","5.067945479974621","","1.6414736480930339","","","","3.584442010916572","","0.8068410204659531","17.76517029962168","0.010894424155210948","","","","0.3842376399996998","","0.028497820941032804","","","","20.05516240062606","","","","","","","","","","","1.4735560543275887","","","","","","","","","","","","","2.091416324392737","","","","","0.583288490990137","","","","","10.416176719575315","","","0.6057976929853081","1.1535575265580433","","","","","","3.6588383285232653","0.26025584155960146","","","7.897194815843321","0.12230353147354045","1.1310193447685069","","","","","7.252916827896912","0.6702939281293827","","","","","","","","","","0.14419235874244138","","1.3753648718299811","","","","","","0.6024495823055047","","","1.9838010082449964","0.8538651183366209","2.20191882937112","0.8268752383886624","","3.0805758033658983","","","","","2.0057601838012937","0.18504164187531197","","","","","0.23300557692522644","","0.5450460927516216","4.769239679264146","","","","","","","29.755936989073728","8.25095170159717","","","182.7780398296907"
"American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.681653267269887","","","","","","","","","","","","","","","","","","","","","","","","0.399311523006981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0125507620117873","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6081988888911225","","","","","","","","","","","","","5.963593440798182","","","","","","","","32.3616048244248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.907067187872099","","","","","","","","","","","7.80539499420553","","","","","1.0659678587689347","","","","","","56.80534274724933"
"Andorra","","","","","","","","0.3766638541713563","","","0.2884869615716891","","","","","","","","4.368455985808428","","","","","","","","","","","","","","","","","","","","","0.04644536285612962","","","","","","","","","","","","","0.5426993420535758","","","","","","","","","","","","","","53.24606320193889","","","","","1.4385078957021702","","","","","","","","","","","","","","","0.4812419898805304","","","","","","","1.137959378033756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1729083346230742","","","","","0.3294912086509171","","","","","","","","","","","","","","","1.7794348555835746","","25.257501676827737","","","","","","","","","","","","","","","","","","","","","","199.18746729397023","","","","","","","","","0.5481127907524337","0.3078840570925316","","","","","","","","","","","","","","","","","0.3382296667416932","0.1867735029220021","0.04027003025029199","","","","","","","","","","291.07459738943095"
"Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.166540988348163","","","","","","","","","","","","0.5829221095974633","","","0.014267479429462208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07134243291129036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.033150164661704534","","0.06556769283519798","","","","","","","","","","","","","","","","","","","25.62328361920106","","","","","0.5957840640079464","","","4.716320367826936","","","","","","","","","","","","5.742881860457152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06330332207331366","","44.67536410134969"
"Antigua and Barbuda","","","","","","","","","","0.002439708301971449","0.03268074817904608","","","","","","0.21657791288937847","","","0.013098080693600243","","1.2531195920900016","","","","","","","","","","","","","0.3659646358520347","","","","","","0.7905279730138077","","","","","","","","","0.006767643556378722","","","","","1.3679842011019334","5.428736490113312","","0.04987684462723256","","","","","0.8434256978353338","","","","0.5411295967074051","","","","","0.3555014201587319","0.0048828720310464405","","","0.08579372413857003","","","","","3.80235765894126","0.03806111136758764","0.0278050072583727","","","","0.34484343225309283","","","","","","","0.1784984581479316","6.78195352563589","0.07236242336017516","","","","","","","","","","","","0.469838319044948","","","","","","","","","","","","","","","","","","0.008199286456624162","","","","","","","","","","","0.023747114137003034","","0.007099597924799095","","","0.7483218720415497","","","","","","","","","","","","","","","","","","","","","","","","","","","0.030848643047322644","","","","","0.04831618763669992","","0.10251166746558867","","0.8403721166592699","0.3398780164425414","","0.42880270550948835","","0.0017122290425093684","","","","0.09566867220159372","","","","","","","0.22015734407067405","","","","","","","","","0.32886031374615277","5.557597604388412","","","","0.006381926362069564","","","","","","","31.862702374431343"
"Argentina","0.0010494399734858693","0.0637305494033396","0.21229047123818798","","","0.0017475961906081665","","","2.320666680497247","","5.504371729013618","10.103206344134454","0.0013879961785449133","","","0.08784143580638905","0.01654188124035458","0.052535109267963453","26.488061890793887","0.010572607281540273","0.00113240698534938","","0.00016937915031542896","606.5487731640704","0.006737399406038747","0.0036465463021440455","69.65358974044155","","0.38002058978907405","0.0018235198762872437","0.0004857743831720562","0.06590046047486141","0.017024066587719464","0.03157162421093226","1.7881968699689468","","","","","43.1319348489497","89.67970650132726","77.98022753693024","","0.00010017347563495605","","2.569735622778085","0.014951934156267482","2.1009142837553174","","","0.5539559965345268","1.2823960467449163","2.232685530332522","","0.0037431252365301","31.672640284279172","20.47518742975058","1.3313475559579977","1.0644090878547918","","","0.5495559687722702","0.017395583087716535","","0.0017373779491448044","0.3055274717844534","123.16361309245056","","","0.004051674381412237","0.15549972118949865","43.76053195763437","0.014836721491977855","1.0859907404940405","","0.001334636030474396","","2.2575608525570425","0.007382543241989531","0.0028121424397599686","0.005239686979160542","0.3294801227207266","1.0708613869189836","0.016063060281847008","6.7065994055880465","0.14324512160729855","7.107537814601015","0.1710374962790056","0.14989665319858375","0.005970214820601611","0.28050487360873855","","3.981749958463185","368.2230220285723","0.043983748112041254","14.602737034083345","0.10900274270179884","0.009058285252647305","0.06843200627647571","","","5.55815454087616","","0.0001663065832323715","0.027350669191476093","0.0255108073319917","0.26625230202954187","7.615574489126624","","0.06442262756183816","","","1.2819045703755823","0.7633069812828855","","0.01690936963676439","0.014817826557673304","0.0004752764171518191","0.06865431616753537","0.002583071177563685","0.010851135972847358","0.05575099833904792","","","0.0013671557179820808","18.393413953431217","","0.04287692390132488","","0.032249984530763956","1.8046613523777968","0.4607428304288833","0.003206373331264003","3.152875147446461e-05","0.0005131854395699575","0.004029760529228247","2.0630305406521385","27.693920394788982","","0.4358598006071193","0.14522652507360143","","","0.9825912808998234","0.03705677377303746","0.1413908740315788","","3.3841718484340926","0.0002454077391098877","478.48019055954285","396.318915776018","13.818858582985648","11.07897052678886","13.681748591821767","","0.22563413759552348","0.8551981784096806","1.9161956083523615","0.010468523116969598","0.0010780363071355731","","","0.07641433063156178","1.3294652682073955","0.035928393234044016","","0.0053546200206904026","","","0.7948910093699181","4.364294732340702","","","0.41609304362226923","","848.2327924440133","0.057140822858504435","","","","","0.0009904108454430655","0.00032691672825124415","","6.6641459019487606","8.18971591866134","0.49581777418741413","","0.0025258295228821853","0.7914030008828823","","0.0040824783865561634","0.004926505585550762","0.006595298467167126","0.18402239794377584","0.2913421595483635","","","","0.03642673660180747","6.586065559576723","","1.027985438944372","58.840168775183756","43.23657641063293","","","1.694130799338069","0.28231355381662393","","0.09647379648106598","0.0018330125766912585","0.000262011197273017","","3543.3462990096623"
"Armenia","","","","","","","","","","","","","305.6808417173003","","","","","0.4387791520549623","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.14050942483718","2.5858496156783946","","1.156664106982377","","","","","","","","","","","","","","","6.358193410337693","","","","","","","","","0.04449576607212562","","","","","","","","","","8.529769926192198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.406495281266972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.663651043807821","","","","","","","","","0.5935112236745378","","","","","2.67866643651976","","","","","","","","","","","","","","430.2774271047243"
"Aruba","","0.003595426390172545","0.0032551186209983725","","","","0.0018485614451176015","0.035751297747556705","","","0.06536149635809216","0.07860064779996882","","","","0.0019997850097935046","0.008466803786630638","","0.8628033189183677","","","0.1044266326741668","","0.012717073298546383","","","0.19638846370023058","","0.0012063171458689965","","","0.0032084238400205372","","","0.053767316167834485","","","","","0.006228203094432311","6.5107837873361945","15.32893174076257","","","","0.242664227416315","","0.001590199941495187","","","","","0.005144436705835304","","0.03188883260131954","13.476879925686676","0.34789278263473017","0.02103359957945716","0.007391907439831383","","","","0.002982690592700207","","0.0009567694405443165","0.002679370551379075","0.6543892797391876","","","0.002591165210532585","","0.28355470417422657","0.0005236570222158617","0.006431146633449262","","0.11765979314377266","","0.04936963831995724","","","0.17808409832144476","2.0928375886971637","0.04391195381274837","0.022204818624906156","0.014704584205630217","0.0057298048642919425","1.4498291005477177","0.11340985852445441","0.0038545069059780553","","0.002688545114460753","","0.004640734217323059","0.12301920764249341","1.3164495579503452","0.01809060584004379","","","0.00913210312326081","","","0.009666355723262887","","1.1879041659455107e-05","","5.122831926650561e-05","0.0022962434302715917","0.3411497316234437","0.001576988534304127","","","","","","0.0007112809152771636","0.0011372017443183344","","0.001952085497223725","","","0.001725993623900868","","","","0.07711172354260654","","","","","","","0.011065597120224827","","","","0.004928998981377343","6.601697730086843","","","0.010756383721201131","0.001221017474471787","0.07735209740279217","","0.003721936670075089","","0.010064865950175264","","0.08033699729053029","","0.0020020223802730314","1.9260254745485492","4.0508284291179395","0.024862300784288777","0.3187407583739499","","","0.0019622782985152577","0.006500283780146941","0.07957437598602259","","","","0.003682618343689724","","0.0027654236458926015","","","","0.45317210949031583","0.024127517690267754","0.004091246769537456","","","0.02645917199234497","","0.3502481971740946","0.003650139555287821","0.06032885363950382","0.009797909269517218","","0.05423868764312769","0.00023060313436566845","0.04938707952023929","","0.023758095907125704","0.05336656989603881","0.0012406001187028034","","0.00030752440756827453","0.005371330272108116","","","0.0018644039303191762","0.039113066898447034","0.0032708817718994265","0.004863575909515196","","","","","0.012188692493980633","","0.020702248852956986","1.2770095316062469","","","","0.5375365804245762","0.008318774305309128","","","","","","60.613675303948334"
